dayint,Column_WV,AOT_Uncertainty,elev,aod,RelAZ,DevAll_P1km,dist_water_km,forestProp_1km,diffcwv
11872,2.949,0.0176,60.3478260869565,0.351,50.64,0.665166516651665,20.8977642059326,0.132313231323132,-0.168968
11873,1.374,0.0307,24.7916666666667,0.02,149.04,0.967654986522911,0.458550661802292,0,0.100058
11873,1.917,0.0446,60.3478260869565,0.048,150,0.665166516651665,20.8977642059326,0.132313231323132,0.141004
11873,1.666,0.1021,17.16,0.019,147.44,0.91726618705036,2.76663184165955,0,-0.0408440000000001
11873,3.74,0.071,6.36363636363636,0.275,154.73,0.857785778577858,3.34939312934876,0,-0.293388
11873,2.543,0.0237,7,0.177,149.09,0,0.0496363341808319,0.026032315978456,0.265074
11874,1.462,0.0109,60.3478260869565,0.323,157.88,0.665166516651665,20.8977642059326,0.132313231323132,-0.385726
11874,1.66,0.0201,17.16,0.345,57.86,0.91726618705036,2.76663184165955,0,-0.295394
11874,1.63,0.0133,6.36363636363636,0.296,54.68,0.857785778577858,3.34939312934876,0,-0.140858
11874,1.908,0.0119,7,0.313,56.91,0,0.0496363341808319,0.026032315978456,0.14472
11878,1.985,0.0102,38.7083333333333,0.564,66.88,0.942394239423942,0.682812094688416,0,-0.275362
11879,1.124,0.045,17.16,0.068,48.47,0.91726618705036,2.76663184165955,0,0.0995480000000002
11879,2.835,0.0289,6.36363636363636,0.513,44.64,0.857785778577858,3.34939312934876,0,0.153086
11880,1.585,0.0355,24.7916666666667,0.023,147.92,0.967654986522911,0.458550661802292,0,-0.140764
11880,1.577,0.0276,38.7083333333333,0.034,148.48,0.942394239423942,0.682812094688416,0,-0.0102150000000001
11880,1.574,0.0361,60.3478260869565,0.115,148.85,0.665166516651665,20.8977642059326,0.132313231323132,0.00761400000000001
11880,1.555,0.0518,6.36363636363636,0.078,153.37,0.857785778577858,3.34939312934876,0,-0.113141
11880,1.48,0.0206,7,0.074,148.63,0,0.0496363341808319,0.026032315978456,0.071007
11883,2.699,0.0106,60.3478260869565,0.371,63.14,0.665166516651665,20.8977642059326,0.132313231323132,-0.246696
11884,1.808,0.0597,38.7083333333333,0.019,140.87,0.942394239423942,0.682812094688416,0,0.0458510000000001
11884,2.124,0.0325,60.3478260869565,0.218,41.28,0.665166516651665,20.8977642059326,0.132313231323132,0.356152
11884,1.915,0.0864,17.16,0.045,41.32,0.91726618705036,2.76663184165955,0,0.0748450000000001
11884,2.862,0.0614,6.36363636363636,0.395,36.94,0.857785778577858,3.34939312934876,0,-0.117623
11885,2.258,0.0138,24.7916666666667,0.372,63.95,0.967654986522911,0.458550661802292,0,-0.884618
11885,2.223,0.0116,38.7083333333333,0.396,64.41,0.942394239423942,0.682812094688416,0,-0.694101
11885,2.879,0.0184,60.3478260869565,0.382,150.91,0.665166516651665,20.8977642059326,0.132313231323132,-0.371285
11885,2.996,0.0328,17.16,0.406,150.8,0.91726618705036,2.76663184165955,0,-0.701323
11885,2.444,0.0229,6.36363636363636,0.259,155.79,0.857785778577858,3.34939312934876,0,-0.415854
11888,2.501,0.033,38.7083333333333,0.439,50.37,0.942394239423942,0.682812094688416,0,-0.0120460000000002
11890,2.861,0.012,6.36363636363636,0.431,157.45,0.857785778577858,3.34939312934876,0,-0.71847
11891,4.015,0.067,24.7916666666667,0.578,140.47,0.967654986522911,0.458550661802292,0,-0.254934
11891,4.17,0.0325,60.3478260869565,0.19,41.56,0.665166516651665,20.8977642059326,0.132313231323132,-0.152106
11891,4.092,0.0925,17.16,0.154,44.23,0.91726618705036,2.76663184165955,0,-0.533231999999999
11896,4.066,0.0463,6.36363636363636,0.299,147.59,0.857785778577858,3.34939312934876,0,-0.544736
11897,3.85,0.0155,6.36363636363636,0.207,56.17,0.857785778577858,3.34939312934876,0,-0.549716
11908,1.55,0.0131,24.7916666666667,0.074,62.54,0.967654986522911,0.458550661802292,0,-0.107842
11908,1.51,0.0122,38.7083333333333,0.022,145.32,0.942394239423942,0.682812094688416,0,-0.0503119999999999
11908,1.713,0.0134,60.3478260869565,0.078,145.56,0.665166516651665,20.8977642059326,0.132313231323132,-0.0464249999999999
11908,1.767,0.0282,17.16,0.032,145.64,0.91726618705036,2.76663184165955,0,-0.142835
11908,1.687,0.0178,6.36363636363636,0.07,148.94,0.857785778577858,3.34939312934876,0,-0.084511
11908,1.827,0.0112,7,0.2,145.85,0,0.0496363341808319,0.026032315978456,0.068832
11909,2.107,0.0271,60.3478260869565,0.261,51.07,0.665166516651665,20.8977642059326,0.132313231323132,0.0962310000000004
11909,1.987,0.0614,17.16,0.24,51.1,0.91726618705036,2.76663184165955,0,-0.230066
11909,1.913,0.0315,6.36363636363636,0.036,48.24,0.857785778577858,3.34939312934876,0,-0.0694360000000001
11910,2.385,0.0094,38.7083333333333,0.251,67.78,0.942394239423942,0.682812094688416,0,-0.188321
11910,2.608,0.0426,17.16,0.533,141.88,0.91726618705036,2.76663184165955,0,-0.438958
11910,2.278,0.0333,6.36363636363636,0.164,145.98,0.857785778577858,3.34939312934876,0,-0.319443
11911,2.92,0.0333,38.7083333333333,0.57,52.47,0.942394239423942,0.682812094688416,0,0.0143209999999998
11914,3.769,0.0409,24.7916666666667,0.087,136.12,0.967654986522911,0.458550661802292,0,-0.0343599999999999
11914,3.58,0.0365,38.7083333333333,0.056,137.04,0.942394239423942,0.682812094688416,0,-0.124494
11917,3.5,0.0103,38.7083333333333,0.49,65.29,0.942394239423942,0.682812094688416,0,-0.584834
11919,3.814,0.0439,6.36363636363636,0.341,141.76,0.857785778577858,3.34939312934876,0,-0.413703
11921,3.037,0.0485,6.36363636363636,0.385,138.06,0.857785778577858,3.34939312934876,0,-0.193419
11923,4.282,0.0529,6.36363636363636,0.362,44.78,0.857785778577858,3.34939312934876,0,-0.157569
11924,1.604,0.0114,24.7916666666667,0.158,62.38,0.967654986522911,0.458550661802292,0,-0.33073
11924,1.788,0.0112,38.7083333333333,0.169,62.82,0.942394239423942,0.682812094688416,0,-0.00174399999999997
11933,2.422,0.009,24.7916666666667,0.212,63.66,0.967654986522911,0.458550661802292,0,-0.662333
11933,2.366,0.0088,38.7083333333333,0.252,63.98,0.942394239423942,0.682812094688416,0,-0.511886
11933,3.292,0.0306,17.16,0.536,138.27,0.91726618705036,2.76663184165955,0,-0.980792
11933,2.917,0.0158,6.36363636363636,0.249,140.5,0.857785778577858,3.34939312934876,0,-0.305389
11933,2.982,0.0115,7,0.571,138.25,0,0.0496363341808319,0.026032315978456,-1.010083
11934,1.945,0.0297,38.7083333333333,0.076,52.42,0.942394239423942,0.682812094688416,0,-0.028959
11934,2.061,0.0399,17.16,0.196,55.6,0.91726618705036,2.76663184165955,0,-0.130541
11934,3.648,0.0242,6.36363636363636,0.524,53.98,0.857785778577858,3.34939312934876,0,-0.399771
11935,2.142,0.0438,17.16,0.062,135.7,0.91726618705036,2.76663184165955,0,-0.0988850000000001
11935,2.079,0.0275,6.36363636363636,0.034,137.74,0.857785778577858,3.34939312934876,0,-0.121605
11935,2.555,0.0155,7,0.179,135.39,0,0.0496363341808319,0.026032315978456,0.344948
11936,1.738,0.022,17.16,0.089,58,0.91726618705036,2.76663184165955,0,-0.0978209999999999
11936,2.145,0.0143,6.36363636363636,0.19,57.01,0.857785778577858,3.34939312934876,0,-0.397946
11937,1.607,0.0247,38.7083333333333,0.019,133.45,0.942394239423942,0.682812094688416,0,-0.148591
11937,1.782,0.0578,17.16,0.054,133.95,0.91726618705036,2.76663184165955,0,-0.00301499999999999
11937,2.053,0.0203,7,0.054,132.75,0,0.0496363341808319,0.026032315978456,0.246088
11938,1.565,0.0168,24.7916666666667,0.057,59.31,0.967654986522911,0.458550661802292,0,-0.049685
11938,1.575,0.0138,38.7083333333333,0.076,58.93,0.942394239423942,0.682812094688416,0,0.015236
11938,1.029,0.0132,17.16,0.043,61.81,0.91726618705036,2.76663184165955,0,0.036623
11938,2.827,0.0094,6.36363636363636,0.331,60.6,0.857785778577858,3.34939312934876,0,-0.59818
11938,1.55,0.0072,7,0.049,140.47,0,0.0496363341808319,0.026032315978456,0.194181
11939,1.853,0.0305,38.7083333333333,0.025,131.61,0.942394239423942,0.682812094688416,0,-0.0424530000000001
11939,1.562,0.0608,17.16,0.033,45.75,0.91726618705036,2.76663184165955,0,-0.0577369999999999
11940,2.616,0.0082,17.16,0.038,64.22,0.91726618705036,2.76663184165955,0,-0.424862
11941,1.506,0.0422,17.16,0.091,53.17,0.91726618705036,2.76663184165955,0,-0.143551
11941,2.903,0.0266,6.36363636363636,0.555,51.69,0.857785778577858,3.34939312934876,0,0.403938
11941,1.648,0.0198,7,0.18,53.5,0,0.0496363341808319,0.026032315978456,0.0212340000000002
11947,1.262,0.011,24.7916666666667,0.037,59.93,0.967654986522911,0.458550661802292,0,-0.238272
11947,1.221,0.0105,38.7083333333333,0.031,60.39,0.942394239423942,0.682812094688416,0,-0.145744
11947,1.847,0.02,17.16,0.298,137.44,0.91726618705036,2.76663184165955,0,-0.451535
11947,1.956,0.0071,6.36363636363636,0.246,62.38,0.857785778577858,3.34939312934876,0,-0.227829
11948,2.223,0.021,7,0.218,52.58,0,0.0496363341808319,0.026032315978456,0.213168
11949,1.783,0.0117,24.7916666666667,0.109,135.73,0.967654986522911,0.458550661802292,0,-0.236423
11949,1.455,0.007,38.7083333333333,0.104,62.53,0.942394239423942,0.682812094688416,0,-0.0663779999999998
11949,2.692,0.0177,6.36363636363636,0.116,137.49,0.857785778577858,3.34939312934876,0,-0.228054
11951,4.111,0.014,7,0.478,132.92,0,0.0496363341808319,0.026032315978456,-0.0311680000000001
11952,3.765,0.012,6.36363636363636,0.093,57.56,0.857785778577858,3.34939312934876,0,-0.206617
11952,2.005,0.0107,7,0.234,58.45,0,0.0496363341808319,0.026032315978456,-1.286493
11954,1.155,0.013,24.7916666666667,0.034,59.09,0.967654986522911,0.458550661802292,0,-0.129113
11954,1.144,0.0117,38.7083333333333,0.031,58.72,0.942394239423942,0.682812094688416,0,-0.0952069999999998
11954,1.137,0.0109,17.16,0.047,60.99,0.91726618705036,2.76663184165955,0,-0.107533
11954,1.211,0.0061,7,0.123,137.31,0,0.0496363341808319,0.026032315978456,0.019277
11958,1.732,0.0057,24.7916666666667,0.052,63.44,0.967654986522911,0.458550661802292,0,-0.313737
11958,1.798,0.0058,38.7083333333333,0.063,63.27,0.942394239423942,0.682812094688416,0,-0.182896
11958,2.014,0.0133,60.3478260869565,0.12,132.98,0.665166516651665,20.8977642059326,0.132313231323132,-0.000594999999999679
11958,1.914,0.0279,17.16,0.064,133.17,0.91726618705036,2.76663184165955,0,-0.192872
11958,2.224,0.011,7,0.066,132.98,0,0.0496363341808319,0.026032315978456,0.0990920000000002
11959,1.745,0.0198,32.48,0.157,55.97,0.281221922731357,9.95783615112305,0.451033243486074,-0.000485999999999986
11959,1.32,0.0187,38.7083333333333,0.056,56.24,0.942394239423942,0.682812094688416,0,-0.0058149999999999
11959,1.758,0.0126,60.3478260869565,0.197,57.66,0.665166516651665,20.8977642059326,0.132313231323132,0.0567390000000001
11959,1.54,0.0208,17.16,0.184,57.45,0.91726618705036,2.76663184165955,0,-0.075461
11959,1.652,0.0118,7,0.21,56.58,0,0.0496363341808319,0.026032315978456,-0.132752
11960,1.799,0.0255,24.7916666666667,0.037,131.79,0.967654986522911,0.458550661802292,0,-0.346866
11960,1.785,0.0162,38.7083333333333,0.034,131.43,0.942394239423942,0.682812094688416,0,-0.258096
11960,1.964,0.0154,7,0.186,131.85,0,0.0496363341808319,0.026032315978456,-0.197188
11961,2.313,0.014,32.48,0.201,57.2,0.281221922731357,9.95783615112305,0.451033243486074,0.0231150000000002
11961,2.538,0.0151,24.7916666666667,0.309,57.54,0.967654986522911,0.458550661802292,0,-0.219162
11961,2.287,0.0083,60.3478260869565,0.193,59.21,0.665166516651665,20.8977642059326,0.132313231323132,0.0228090000000001
11961,2.362,0.0123,17.16,0.232,59.78,0.91726618705036,2.76663184165955,0,-0.251551
11961,2.526,0.0081,7,0.273,59.04,0,0.0496363341808319,0.026032315978456,0.180623
11962,2.927,0.0144,32.48,0.273,129.53,0.281221922731357,9.95783615112305,0.451033243486074,-0.130175
11962,2.809,0.0324,24.7916666666667,0.311,129.85,0.967654986522911,0.458550661802292,0,-0.320963
11962,3.015,0.0496,17.16,0.44,128.13,0.91726618705036,2.76663184165955,0,-0.291935
11965,1.668,0.0061,24.7916666666667,0.137,61.6,0.967654986522911,0.458550661802292,0,-0.285027
11965,2.021,0.0235,17.16,0.053,132.33,0.91726618705036,2.76663184165955,0,-0.325011
11965,2.865,0.0133,6.36363636363636,0.201,134.44,0.857785778577858,3.34939312934876,0,-0.622123
11966,1.815,0.0139,60.3478260869565,0.138,55.69,0.665166516651665,20.8977642059326,0.132313231323132,-0.0638180000000002
11966,1.437,0.0249,17.16,0.076,55.61,0.91726618705036,2.76663184165955,0,-0.07612
11967,3.149,0.0266,6.36363636363636,0.199,132.37,0.857785778577858,3.34939312934876,0,-0.296831
11968,1.144,0.0153,32.48,0.05,56.27,0.281221922731357,9.95783615112305,0.451033243486074,0.013951
11968,1.14,0.0194,24.7916666666667,0.063,57.52,0.967654986522911,0.458550661802292,0,-0.0606959999999999
11974,0.571,0.005,24.7916666666667,0.027,62.67,0.967654986522911,0.458550661802292,0,-0.130541
11974,0.738,0.0117,60.3478260869565,0.022,130.17,0.665166516651665,20.8977642059326,0.132313231323132,0.040323
11974,0.766,0.0214,17.16,0.019,130.49,0.91726618705036,2.76663184165955,0,0.010606
11974,1.264,0.0246,6.36363636363636,0.056,131.52,0.857785778577858,3.34939312934876,0,-0.146486
11978,0.89,0.0124,32.48,0.045,128.85,0.281221922731357,9.95783615112305,0.451033243486074,0.0119280000000001
11978,0.891,0.0228,24.7916666666667,0.028,128.01,0.967654986522911,0.458550661802292,0,-0.069259
11978,1.122,0.0306,17.16,0.146,126.39,0.91726618705036,2.76663184165955,0,0.0676250000000001
11978,1.168,0.0222,6.36363636363636,0.068,125.74,0.857785778577858,3.34939312934876,0,-0.0018530000000001
11978,1.219,0.0164,7,0.183,128.23,0,0.0496363341808319,0.026032315978456,0.0311100000000002
11980,0.745,0.0161,32.48,0.09,127.59,0.281221922731357,9.95783615112305,0.451033243486074,0.012765
11981,0.987,0.0051,32.48,0.067,60.67,0.281221922731357,9.95783615112305,0.451033243486074,-0.012812
11981,0.735,0.0048,24.7916666666667,0.082,61.56,0.967654986522911,0.458550661802292,0,-0.266134
11981,1.254,0.0091,60.3478260869565,0.125,130.51,0.665166516651665,20.8977642059326,0.132313231323132,0.0217499999999999
11982,1.184,0.0169,32.48,0.051,57.94,0.281221922731357,9.95783615112305,0.451033243486074,-0.0188190000000001
11982,1.479,0.0112,60.3478260869565,0.281,56.88,0.665166516651665,20.8977642059326,0.132313231323132,0.0439500000000002
11983,0.998,0.007,32.48,0.241,129.34,0.281221922731357,9.95783615112305,0.451033243486074,-0.164337
11983,1.528,0.0126,60.3478260869565,0.243,128.76,0.665166516651665,20.8977642059326,0.132313231323132,-0.028875
11983,1.619,0.0187,6.36363636363636,0.088,129.91,0.857785778577858,3.34939312934876,0,-0.060006
11984,0.787,0.0126,32.48,0.089,57.28,0.281221922731357,9.95783615112305,0.451033243486074,-0.0171469999999999
11986,1.497,0.0054,17.16,0.168,60.7,0.91726618705036,2.76663184165955,0,-0.386466
11987,1.005,0.0134,32.48,0.148,126.77,0.281221922731357,9.95783615112305,0.451033243486074,-0.00649499999999992
11987,1.615,0.0196,6.36363636363636,0.127,54.58,0.857785778577858,3.34939312934876,0,-0.0998380000000001
11991,0.736,0.0137,32.48,0.046,57.06,0.281221922731357,9.95783615112305,0.451033243486074,-0.015374
11993,0.767,0.0054,60.3478260869565,0.097,60.89,0.665166516651665,20.8977642059326,0.132313231323132,0.0408580000000001
11993,0.735,0.0073,17.16,0.109,60.57,0.91726618705036,2.76663184165955,0,-0.041297
11993,0.964,0.0054,7,0.137,60.05,0,0.0496363341808319,0.026032315978456,0.111656
11994,0.783,0.016,60.3478260869565,0.225,128.85,0.665166516651665,20.8977642059326,0.132313231323132,0.0114920000000001
11994,0.7,0.0276,17.16,0.203,123.49,0.91726618705036,2.76663184165955,0,-0.026851
11994,0.784,0.0245,6.36363636363636,0.127,129.67,0.857785778577858,3.34939312934876,0,-0.036289
11994,0.872,0.0143,7,0.207,125.24,0,0.0496363341808319,0.026032315978456,0.037834
11998,0.361,0.017,24.7916666666667,0.021,56.45,0.967654986522911,0.458550661802292,0,0.0227
11998,0.823,0.0157,6.36363636363636,0.101,58.14,0.857785778577858,3.34939312934876,0,-0.225268
11999,0.86,0.0112,60.3478260869565,0.023,126.27,0.665166516651665,20.8977642059326,0.132313231323132,0.02417
11999,0.922,0.018,17.16,0.02,126.52,0.91726618705036,2.76663184165955,0,-0.046689
11999,1.015,0.019,6.36363636363636,0.047,127.2,0.857785778577858,3.34939312934876,0,-0.0839199999999998
11999,1.009,0.0094,7,0.048,125.97,0,0.0496363341808319,0.026032315978456,0.0649950000000001
12000,1.28,0.0121,6.36363636363636,0.188,59.75,0.857785778577858,3.34939312934876,0,-0.250633
12001,2.899,0.02,6.36363636363636,0.08,127.1,0.857785778577858,3.34939312934876,0,-0.322852
12005,1.162,0.0105,60.3478260869565,0.07,59.71,0.665166516651665,20.8977642059326,0.132313231323132,-0.0538510000000001
12005,1.227,0.0161,17.16,0.079,59.73,0.91726618705036,2.76663184165955,0,-0.109167
12005,1.186,0.0131,6.36363636363636,0.069,59.14,0.857785778577858,3.34939312934876,0,-0.149413
12005,1.357,0.0102,7,0.064,58.33,0,0.0496363341808319,0.026032315978456,0.0248440000000001
12009,0.504,0.0046,60.3478260869565,0.037,61.64,0.665166516651665,20.8977642059326,0.132313231323132,-0.0141519999999999
12009,0.533,0.0052,17.16,0.047,62.1,0.91726618705036,2.76663184165955,0,-0.021308
12009,0.641,0.0045,7,0.066,61.61,0,0.0496363341808319,0.026032315978456,0.070785
12014,0.659,0.0081,60.3478260869565,0.061,60.53,0.665166516651665,20.8977642059326,0.132313231323132,-0.040813
12014,0.684,0.0117,17.16,0.073,60.5,0.91726618705036,2.76663184165955,0,-0.042651
12014,0.663,0.008,7,0.069,60.89,0,0.0496363341808319,0.026032315978456,-0.0888359999999999
12015,0.94,0.0106,60.3478260869565,0.053,123.39,0.665166516651665,20.8977642059326,0.132313231323132,-0.039364
12015,1.003,0.0157,17.16,0.095,123.67,0.91726618705036,2.76663184165955,0,-0.0600129999999999
12015,0.978,0.0085,7,0.102,124.25,0,0.0496363341808319,0.026032315978456,-0.13473
12019,0.524,0.0121,7,0.142,66,0,0.0496363341808319,0.026032315978456,-0.05379
12022,0.407,0.0104,60.3478260869565,0.026,123.08,0.665166516651665,20.8977642059326,0.132313231323132,0.057833
12022,0.418,0.0147,17.16,0.031,123.41,0.91726618705036,2.76663184165955,0,0.073498
12022,0.402,0.0097,11.1666666666667,0.02,124.26,0.140287769784173,4.09160137176514,0.226618705035971,-0.016837
12024,0.276,0.0075,32.48,0.025,122.71,0.281221922731357,9.95783615112305,0.451033243486074,0.062294
12024,0.278,0.0122,24.7916666666667,0.022,122.84,0.967654986522911,0.458550661802292,0,0.032064
12024,0.208,0.0142,60.3478260869565,0.021,122.06,0.665166516651665,20.8977642059326,0.132313231323132,0.072589
12024,0.233,0.0208,17.16,0.025,122.39,0.91726618705036,2.76663184165955,0,0.084316
12024,0.228,0.0096,7,0.121,121.47,0,0.0496363341808319,0.026032315978456,0.048326
12024,0.217,0.0122,11.1666666666667,0.019,122.82,0.140287769784173,4.09160137176514,0.226618705035971,0.024787
12027,0.496,0.0035,11.1666666666667,0.152,64.94,0.140287769784173,4.09160137176514,0.226618705035971,-0.041687
12028,0.419,0.0133,11.1666666666667,0.095,59.57,0.140287769784173,4.09160137176514,0.226618705035971,-0.078239
12033,0.991,0.013,24.7916666666667,0.026,120.37,0.967654986522911,0.458550661802292,0,-0.234868
12036,0.756,0.0046,17.16,0.084,66.91,0.91726618705036,2.76663184165955,0,-0.273653
12036,0.853,0.0046,7,0.189,122.49,0,0.0496363341808319,0.026032315978456,-0.187922
12036,0.689,0.0029,11.1666666666667,0.084,66.51,0.140287769784173,4.09160137176514,0.226618705035971,-0.10745
12037,0.421,0.0112,11.1666666666667,0.048,62.47,0.140287769784173,4.09160137176514,0.226618705035971,-0.021251
12038,0.314,0.0028,32.48,0.044,66.42,0.281221922731357,9.95783615112305,0.451033243486074,0.030894
12038,0.423,0.0087,60.3478260869565,0.029,120.78,0.665166516651665,20.8977642059326,0.132313231323132,0.026296
12038,0.394,0.0154,17.16,0.022,121.02,0.91726618705036,2.76663184165955,0,0.054785
12038,0.475,0.0066,7,0.148,120.66,0,0.0496363341808319,0.026032315978456,-0.0266699999999999
12038,0.399,0.0078,11.1666666666667,0.061,121.82,0.140287769784173,4.09160137176514,0.226618705035971,-0.053226
12039,0.327,0.0103,32.48,0.04,63.16,0.281221922731357,9.95783615112305,0.451033243486074,0.059659
12042,0.645,0.0134,60.3478260869565,0.059,122.02,0.665166516651665,20.8977642059326,0.132313231323132,-0.07247
12042,0.7,0.0208,17.16,0.073,121.68,0.91726618705036,2.76663184165955,0,-0.0439499999999999
12042,0.719,0.0113,7,0.052,118.56,0,0.0496363341808319,0.026032315978456,-0.0405410000000001
12042,0.538,0.014,11.1666666666667,0.045,119.97,0.140287769784173,4.09160137176514,0.226618705035971,-0.0371629999999999
12043,0.746,0.0031,60.3478260869565,0.073,67.5,0.665166516651665,20.8977642059326,0.132313231323132,-0.259708
12043,0.835,0.003,7,0.081,67.39,0,0.0496363341808319,0.026032315978456,-0.260618
12043,0.871,0.0036,11.1666666666667,0.061,66.83,0.140287769784173,4.09160137176514,0.226618705035971,-0.086859
12044,0.483,0.0117,60.3478260869565,0.04,62.41,0.665166516651665,20.8977642059326,0.132313231323132,-0.049887
12044,0.543,0.0176,17.16,0.035,62.25,0.91726618705036,2.76663184165955,0,-0.046221
12044,0.478,0.0108,7,0.068,63.71,0,0.0496363341808319,0.026032315978456,-0.17257
