dayint,Column_WV,AOT_Uncertainty,elev,aod,RelAZ,DevAll_P1km,dist_water_km,forestProp_1km,diffcwv
11012,1.822,0.013,60.3478260869565,0.333,124.38,0.665166516651665,20.8977642059326,0.132313231323132,-0.237886
11012,1.801,0.0131,17.16,0.604,123.85,0.91726618705036,2.76663184165955,0,-0.398595
11012,1.887,0.0161,11.1666666666667,0.342,124.41,0.140287769784173,4.09160137176514,0.226618705035971,-0.437449
11014,1.752,0.011,11.7391304347826,0.343,126.55,0.00269784172661871,2.3322925567627,0.114208633093525,-0.507795
11015,0.62,0.0201,60.3478260869565,0.225,62.02,0.665166516651665,20.8977642059326,0.132313231323132,0.00990100000000005
11015,0.427,0.0186,11.7391304347826,0.15,62.07,0.00269784172661871,2.3322925567627,0.114208633093525,-0.12854
11015,0.467,0.0184,11.1666666666667,0.177,60.28,0.140287769784173,4.09160137176514,0.226618705035971,-0.137312
11016,0.436,0.0069,60.3478260869565,0.076,127.68,0.665166516651665,20.8977642059326,0.132313231323132,-0.054287
11016,0.416,0.006,17.16,0.137,67.54,0.91726618705036,2.76663184165955,0,-0.085814
11016,0.45,0.0053,11.7391304347826,0.072,68.22,0.00269784172661871,2.3322925567627,0.114208633093525,-0.136181
11018,0.668,0.0078,11.7391304347826,0.214,66.2,0.00269784172661871,2.3322925567627,0.114208633093525,-0.189358
11018,0.624,0.008,11.1666666666667,0.15,65.97,0.140287769784173,4.09160137176514,0.226618705035971,-0.160407
11019,0.525,0.0167,60.3478260869565,0.137,123.84,0.665166516651665,20.8977642059326,0.132313231323132,-0.040512
11019,0.622,0.0191,11.7391304347826,0.157,124.98,0.00269784172661871,2.3322925567627,0.114208633093525,-0.0923389999999999
11019,0.618,0.0378,11.1666666666667,0.019,124.25,0.140287769784173,4.09160137176514,0.226618705035971,-0.11229
11020,0.599,0.0131,17.16,0.306,63.32,0.91726618705036,2.76663184165955,0,-6.4000000000064e-05
11020,0.661,0.0117,11.7391304347826,0.021,63.67,0.00269784172661871,2.3322925567627,0.114208633093525,-0.130455
11020,0.713,0.0133,11.1666666666667,0.019,64.3,0.140287769784173,4.09160137176514,0.226618705035971,-0.162533
11021,0.483,0.012,60.3478260869565,0.167,126.3,0.665166516651665,20.8977642059326,0.132313231323132,-0.032841
11021,0.555,0.0432,17.16,0.031,125.77,0.91726618705036,2.76663184165955,0,-0.03852
11021,0.768,0.0141,11.7391304347826,0.211,126.74,0.00269784172661871,2.3322925567627,0.114208633093525,-0.127276
11021,0.67,0.0226,11.1666666666667,0.047,126.02,0.140287769784173,4.09160137176514,0.226618705035971,-0.109463
11022,0.712,0.0197,60.3478260869565,0.2,62.48,0.665166516651665,20.8977642059326,0.132313231323132,-0.067026
11022,0.816,0.017,11.7391304347826,0.09,61.47,0.00269784172661871,2.3322925567627,0.114208633093525,-0.111987
11022,0.754,0.0225,11.1666666666667,0.037,62.08,0.140287769784173,4.09160137176514,0.226618705035971,-0.130047
11023,1.097,0.0057,60.3478260869565,0.135,68.94,0.665166516651665,20.8977642059326,0.132313231323132,-0.170121
11023,0.971,0.0084,17.16,0.114,68.95,0.91726618705036,2.76663184165955,0,-0.279811
11024,1.994,0.0411,60.3478260869565,0.093,161.06,0.665166516651665,20.8977642059326,0.132313231323132,-0.271828
11024,2.17,0.0227,11.7391304347826,0.245,58.11,0.00269784172661871,2.3322925567627,0.114208633093525,-0.079094
11026,1.242,0.0225,11.7391304347826,0.158,124.13,0.00269784172661871,2.3322925567627,0.114208633093525,-0.00683600000000006
11026,1.153,0.0332,11.1666666666667,0.047,123.6,0.140287769784173,4.09160137176514,0.226618705035971,-0.253263
11027,1.989,0.0106,11.7391304347826,0.447,65.33,0.00269784172661871,2.3322925567627,0.114208633093525,-0.769763
11029,0.575,0.023,60.3478260869565,0.159,61.38,0.665166516651665,20.8977642059326,0.132313231323132,-0.104836
11029,0.607,0.0383,17.16,0.128,62.83,0.91726618705036,2.76663184165955,0,-0.062638
11030,0.784,0.0236,60.3478260869565,0.029,128.42,0.665166516651665,20.8977642059326,0.132313231323132,-0.106202
11030,0.798,0.0331,17.16,0.04,127.87,0.91726618705036,2.76663184165955,0,-0.143045
11030,0.738,0.0126,11.7391304347826,0.126,128.77,0.00269784172661871,2.3322925567627,0.114208633093525,-0.135393
11030,0.722,0.0186,11.1666666666667,0.022,128.79,0.140287769784173,4.09160137176514,0.226618705035971,-0.107301
11042,0.771,0.0494,60.3478260869565,0.026,124.86,0.665166516651665,20.8977642059326,0.132313231323132,-0.16736
11042,0.912,0.0735,17.16,0.054,126.23,0.91726618705036,2.76663184165955,0,-0.041791
11042,0.913,0.025,11.7391304347826,0.092,128.1,0.00269784172661871,2.3322925567627,0.114208633093525,-0.0341359999999999
11042,0.755,0.0413,11.1666666666667,0.078,127.39,0.140287769784173,4.09160137176514,0.226618705035971,-0.154614
11043,0.658,0.0069,68.3461538461538,0.25,71.37,0,72.62548828125,0.796777081468219,-0.0821
11044,0.777,0.0277,60.3478260869565,0.156,127.84,0.665166516651665,20.8977642059326,0.132313231323132,-0.074781
11044,0.939,0.0188,11.7391304347826,0.114,128.67,0.00269784172661871,2.3322925567627,0.114208633093525,0.00754500000000002
11044,0.714,0.0316,11.1666666666667,0.044,127.71,0.140287769784173,4.09160137176514,0.226618705035971,-0.092593
11045,0.852,0.0173,11.7391304347826,0.087,62.58,0.00269784172661871,2.3322925567627,0.114208633093525,0.00734999999999997
11045,0.788,0.0188,11.1666666666667,0.044,63.33,0.140287769784173,4.09160137176514,0.226618705035971,-0.160444
11046,0.711,0.037,17.16,0.151,130.45,0.91726618705036,2.76663184165955,0,-0.018942
11047,0.481,0.0393,60.3478260869565,0.019,60.45,0.665166516651665,20.8977642059326,0.132313231323132,-0.046682
11047,0.56,0.0725,17.16,0.043,59.86,0.91726618705036,2.76663184165955,0,-0.00281899999999991
11047,0.493,0.0236,11.7391304347826,0.047,58.58,0.00269784172661871,2.3322925567627,0.114208633093525,0.027476
11047,0.48,0.0295,11.1666666666667,0.022,59.53,0.140287769784173,4.09160137176514,0.226618705035971,-0.145708
11048,0.591,0.0093,60.3478260869565,0.101,70.39,0.665166516651665,20.8977642059326,0.132313231323132,-0.020024
11048,0.593,0.0147,17.16,0.103,70.45,0.91726618705036,2.76663184165955,0,-0.0628190000000001
11048,0.508,0.0105,11.7391304347826,0.108,133.78,0.00269784172661871,2.3322925567627,0.114208633093525,-0.144203
11048,0.59,0.0138,11.1666666666667,0.058,133.29,0.140287769784173,4.09160137176514,0.226618705035971,-0.167271
11052,0.541,0.0197,60.3478260869565,0.219,63.7,0.665166516651665,20.8977642059326,0.132313231323132,-0.0336219999999999
11052,0.447,0.016,11.1666666666667,0.053,65.25,0.140287769784173,4.09160137176514,0.226618705035971,-0.0855
11053,1.412,0.019,60.3478260869565,0.205,130.58,0.665166516651665,20.8977642059326,0.132313231323132,-0.12682
11053,1.366,0.0426,17.16,0.16,129.89,0.91726618705036,2.76663184165955,0,-0.349586
11053,1.368,0.0263,11.1666666666667,0.128,130.2,0.140287769784173,4.09160137176514,0.226618705035971,-0.223897
11054,1.563,0.0222,11.7391304347826,0.205,60.39,0.00269784172661871,2.3322925567627,0.114208633093525,0.0192299999999999
11055,1.243,0.0127,60.3478260869565,0.078,133.45,0.665166516651665,20.8977642059326,0.132313231323132,-0.17445
11055,1.268,0.0295,17.16,0.082,132.8,0.91726618705036,2.76663184165955,0,-0.226566
11055,1.28,0.0181,11.1666666666667,0.082,133.64,0.140287769784173,4.09160137176514,0.226618705035971,-0.260088
11056,0.429,0.0402,60.3478260869565,0.051,118.82,0.665166516651665,20.8977642059326,0.132313231323132,-0.025518
11056,0.427,0.086,17.16,0.024,73.04,0.91726618705036,2.76663184165955,0,-0.013285
11056,0.466,0.0271,11.7391304347826,0.08,56.17,0.00269784172661871,2.3322925567627,0.114208633093525,-0.00834499999999999
11056,0.419,0.0301,11.1666666666667,0.054,57.12,0.140287769784173,4.09160137176514,0.226618705035971,-0.0906030000000001
11057,0.732,0.0115,60.3478260869565,0.155,69.57,0.665166516651665,20.8977642059326,0.132313231323132,-0.091503
11057,0.65,0.0192,17.16,0.131,69.77,0.91726618705036,2.76663184165955,0,-0.12086
11057,0.986,0.0097,11.7391304347826,0.243,70.78,0.00269784172661871,2.3322925567627,0.114208633093525,-0.209818
11057,0.777,0.0098,11.1666666666667,0.192,71.36,0.140287769784173,4.09160137176514,0.226618705035971,-0.231127
11059,0.745,0.0171,60.3478260869565,0.245,65.29,0.665166516651665,20.8977642059326,0.132313231323132,-0.072739
11059,0.584,0.0301,17.16,0.251,66.35,0.91726618705036,2.76663184165955,0,-0.0755750000000001
11061,0.472,0.0088,68.3461538461538,0.092,129.93,0,72.62548828125,0.796777081468219,-0.091119
11063,2.304,0.0324,60.3478260869565,0.232,60.33,0.665166516651665,20.8977642059326,0.132313231323132,-0.122716
11063,2.02,0.0735,17.16,0.362,59.78,0.91726618705036,2.76663184165955,0,-0.698661
11065,0.416,0.0212,68.3461538461538,0.083,65.97,0,72.62548828125,0.796777081468219,-0.0577199999999999
11071,0.932,0.0334,17.16,0.123,136.44,0.91726618705036,2.76663184165955,0,-0.218778
11071,1.435,0.016,11.1666666666667,0.05,136.79,0.140287769784173,4.09160137176514,0.226618705035971,-0.230196
11076,1.116,0.0266,68.3461538461538,0.093,97.89,0,72.62548828125,0.796777081468219,-0.181856
11077,0.549,0.0513,17.16,0.093,61.89,0.91726618705036,2.76663184165955,0,0.02768
11080,1.322,0.0111,60.3478260869565,0.255,74.12,0.665166516651665,20.8977642059326,0.132313231323132,-0.226911
11080,1.201,0.0172,17.16,0.13,74.37,0.91726618705036,2.76663184165955,0,-0.261787
11080,0.842,0.0138,11.1666666666667,0.152,141.23,0.140287769784173,4.09160137176514,0.226618705035971,-0.227855
11081,2.106,0.0301,60.3478260869565,0.212,131.85,0.665166516651665,20.8977642059326,0.132313231323132,-0.119738
11081,2.162,0.1115,17.16,0.139,130.45,0.91726618705036,2.76663184165955,0,-0.249934
11081,1.619,0.0285,11.7391304347826,0.117,143.89,0.00269784172661871,2.3322925567627,0.114208633093525,-0.108331
11081,1.646,0.0324,11.1666666666667,0.058,67.38,0.140287769784173,4.09160137176514,0.226618705035971,-0.350734
11082,2.61,0.0276,17.16,0.542,69.11,0.91726618705036,2.76663184165955,0,-0.886603
11083,3.158,0.0246,11.7391304347826,0.471,136.07,0.00269784172661871,2.3322925567627,0.114208633093525,-0.028276
11084,2.808,0.0218,60.3478260869565,0.619,62.77,0.665166516651665,20.8977642059326,0.132313231323132,-0.112697
11084,2.465,0.0113,68.3461538461538,0.245,75,0,72.62548828125,0.796777081468219,-0.477031
11084,2.498,0.0405,17.16,0.45,64.25,0.91726618705036,2.76663184165955,0,-0.362181
11085,3.112,0.0185,60.3478260869565,0.566,137.84,0.665166516651665,20.8977642059326,0.132313231323132,-0.0812710000000001
11085,3.049,0.0494,17.16,0.467,137.79,0.91726618705036,2.76663184165955,0,-0.52086
11085,1.683,0.0221,11.1666666666667,0.093,137.59,0.140287769784173,4.09160137176514,0.226618705035971,-0.313331
11086,2.919,0.0306,60.3478260869565,0.316,58.3,0.665166516651665,20.8977642059326,0.132313231323132,-0.0513879999999998
11086,2.894,0.0802,17.16,0.263,58.39,0.91726618705036,2.76663184165955,0,-0.437383
11086,3.179,0.0258,11.7391304347826,0.358,57.82,0.00269784172661871,2.3322925567627,0.114208633093525,-0.16949
11086,2.952,0.0281,11.1666666666667,0.289,59.27,0.140287769784173,4.09160137176514,0.226618705035971,-0.503594
11087,2.748,0.0102,60.3478260869565,0.539,77.44,0.665166516651665,20.8977642059326,0.132313231323132,-0.709595
11087,2.857,0.0164,11.1666666666667,0.356,142.17,0.140287769784173,4.09160137176514,0.226618705035971,-0.582722
11088,1.367,0.0341,60.3478260869565,0.074,113.56,0.665166516651665,20.8977642059326,0.132313231323132,0.0311919999999999
11088,1.365,0.1054,17.16,0.035,61.03,0.91726618705036,2.76663184165955,0,-0.0209349999999999
11088,1.194,0.037,11.1666666666667,0.02,55.22,0.140287769784173,4.09160137176514,0.226618705035971,-0.116113
11089,2.723,0.0118,11.1666666666667,0.449,74.47,0.140287769784173,4.09160137176514,0.226618705035971,-0.783175
11091,1.167,0.0311,17.16,0.192,65.73,0.91726618705036,2.76663184165955,0,0.055815
11091,1.228,0.016,11.1666666666667,0.242,67.6,0.140287769784173,4.09160137176514,0.226618705035971,-0.246765
11092,1.085,0.0285,11.1666666666667,0.135,138.81,0.140287769784173,4.09160137176514,0.226618705035971,-0.127154
11094,1.765,0.0337,17.16,0.349,141.82,0.91726618705036,2.76663184165955,0,-0.338061
11101,2.462,0.0192,60.3478260869565,0.205,143.6,0.665166516651665,20.8977642059326,0.132313231323132,0.034907
11101,2.178,0.0251,11.1666666666667,0.134,143.88,0.140287769784173,4.09160137176514,0.226618705035971,0.00371999999999995
11103,1.27,0.0105,60.3478260869565,0.106,77.54,0.665166516651665,20.8977642059326,0.132313231323132,0.056344
11103,1.199,0.0115,17.16,0.113,78.33,0.91726618705036,2.76663184165955,0,-0.335906
11103,1.103,0.017,11.1666666666667,0.026,147.32,0.140287769784173,4.09160137176514,0.226618705035971,-0.087882
11108,1.958,0.022,60.3478260869565,0.369,143.2,0.665166516651665,20.8977642059326,0.132313231323132,-0.0641580000000002
11108,1.834,0.0668,17.16,0.149,143.09,0.91726618705036,2.76663184165955,0,-0.156091
11109,3.779,0.028,60.3478260869565,0.557,55.58,0.665166516651665,20.8977642059326,0.132313231323132,-0.15538
11109,3.635,0.0237,11.1666666666667,0.9,57.61,0.140287769784173,4.09160137176514,0.226618705035971,-0.282734
11110,3.007,0.0166,60.3478260869565,0.569,147.48,0.665166516651665,20.8977642059326,0.132313231323132,-0.283992
11110,2.662,0.0412,17.16,0.442,146.44,0.91726618705036,2.76663184165955,0,-0.869104
11111,1.085,0.0895,17.16,0.085,50.17,0.91726618705036,2.76663184165955,0,-0.101017
11113,0.91,0.0258,68.3461538461538,0.07,61.63,0,72.62548828125,0.796777081468219,-0.124898
11116,1.897,0.02,11.1666666666667,0.308,59.51,0.140287769784173,4.09160137176514,0.226618705035971,-0.210867
11117,1.17,0.0279,68.3461538461538,0.019,129.45,0,72.62548828125,0.796777081468219,0.073286
11117,2.278,0.028,11.1666666666667,0.072,147.63,0.140287769784173,4.09160137176514,0.226618705035971,-0.121939
11118,3.052,0.0327,60.3478260869565,0.446,50.42,0.665166516651665,20.8977642059326,0.132313231323132,0.0489730000000002
11118,2.69,0.0869,17.16,0.36,50.79,0.91726618705036,2.76663184165955,0,-0.374205
11118,2.966,0.0281,11.1666666666667,0.362,51.42,0.140287769784173,4.09160137176514,0.226618705035971,-0.0653959999999998
11119,2.515,0.0139,17.16,0.375,76.58,0.91726618705036,2.76663184165955,0,-0.69232
11119,2.665,0.017,11.1666666666667,0.339,151.79,0.140287769784173,4.09160137176514,0.226618705035971,-0.151132
11125,4.15,0.0234,11.1666666666667,0.152,53.7,0.140287769784173,4.09160137176514,0.226618705035971,-0.424212
11126,1.751,0.0249,68.3461538461538,0.019,131.01,0,72.62548828125,0.796777081468219,-0.0290769999999998
11127,1.347,0.0188,68.3461538461538,0.027,64.47,0,72.62548828125,0.796777081468219,-0.172585
11128,2.138,0.0121,60.3478260869565,0.083,153.64,0.665166516651665,20.8977642059326,0.132313231323132,-0.0131269999999999
